gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,0,1,0,-1.285566089167874,0,1,0,0,2,0,0,0,0,0,1,2,-1.165522543236504,-0.9972842175267818,0
1,0,0,0,0.060345819010170096,1,0,0,2,0,2,0,0,0,1,0,3,-0.26407096544550474,-0.1768476700945268,0
1,0,0,0,-1.2447808798291453,1,0,0,2,2,0,0,0,0,0,1,3,-0.36718904260978885,-0.9627399851906187,1
1,0,0,0,0.5089831217361848,0,1,0,2,0,2,2,0,0,1,0,0,-0.7513870397863956,-0.19835509444175473,0
0,0,0,0,-1.2447808798291453,1,0,1,0,0,0,0,0,0,0,1,2,0.1933076026218841,-0.9435487450038614,1
0,0,0,0,-1.0000696237967737,1,2,1,0,0,2,0,2,2,0,1,2,1.1562973877528593,-0.6484668829598942,1
1,0,0,1,-0.4290766930545732,1,2,1,0,2,0,0,2,0,0,1,1,0.8053632864356988,-0.15042111176839437,0
0,0,0,0,-0.9184992051193165,0,1,0,2,0,0,0,0,0,0,0,3,-1.1688489328224487,-0.8772617602208665,0
0,0,1,0,-0.18436543702220157,1,2,1,0,0,2,2,2,2,0,1,2,1.3276064514290082,0.33339667100878545,1
1,0,0,1,1.2023316804945712,1,0,0,2,2,0,0,0,0,1,0,0,-0.29068208213306207,0.5283532006301191,0
1,0,1,1,-0.7961435771031307,1,0,0,2,0,0,0,0,0,0,1,3,-0.49691823646163,-0.7512834007880269,0
1,0,0,0,-0.6737879490869448,1,0,2,1,1,1,1,1,1,2,0,1,-1.5280990081044703,-0.8662764296312057,0
1,0,1,0,1.0391908431396566,1,2,1,0,0,2,0,2,2,1,0,1,1.1795821148544714,1.4959225894941797,0
1,0,0,0,0.6721239590910992,1,2,1,0,2,2,0,2,2,0,1,0,1.2910161659836175,1.2114510567948449,1
1,0,0,0,-0.30672106503838736,1,0,1,2,0,2,2,2,2,0,1,2,1.350891178530621,0.17457261429079454,0
0,0,1,1,1.4878281458656715,1,2,1,2,2,2,2,2,2,2,0,1,1.608686371441331,2.47271259720659,0
0,0,0,0,0.7944795871072851,1,0,2,1,1,1,1,1,1,1,0,3,-1.4715503851434115,-0.5591504099527906,0
1,0,0,1,1.5693985645431285,1,2,1,2,0,2,0,2,2,2,0,0,1.3908078535619568,2.246432434176986,0
0,0,1,1,-0.9184992051193165,1,0,0,0,0,2,2,0,0,0,0,1,-0.32228278319953607,-0.7773570167658971,1
0,0,0,0,-0.46986190239330183,1,0,1,0,2,2,0,0,2,0,1,2,0.8369639875021729,-0.18858300317424495,0
1,1,0,0,-1.285566089167874,0,1,0,0,0,2,0,0,2,0,1,2,-0.8395363638139287,-0.9929606737605696,1
1,0,1,0,-0.8369287864418593,1,0,2,1,1,1,1,1,1,1,0,0,-1.499824696623941,-0.9212251414762772,0
1,0,0,0,-1.285566089167874,1,0,2,1,1,1,1,1,1,0,0,3,-1.4881823330731347,-1.0015636434994608,1
0,0,1,0,1.0391908431396566,1,2,0,0,2,0,2,0,0,2,1,1,-0.16594247266013784,0.5359194022209901,0
1,0,1,1,0.6721239590910992,1,0,0,2,2,0,2,0,0,0,0,1,-0.17592164141797167,0.2999774424077082,0
0,0,0,0,-0.10279501834474433,1,0,0,2,2,0,0,0,0,0,1,0,-0.3189563936135916,-0.3351864310836572,0
1,0,1,1,0.590553540413642,1,2,1,0,2,0,0,2,2,0,1,2,1.146318218995025,1.0847668126654804,1
